ID/ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
45,12.25,36.48,77.91,27.31,46.01,48.51,29.68,46.09,70.84,28.96,36.33,43.93,25.84,55.47,25.63,25.35,14.82,55.99,33.16,14.64,116.77,51.21,47.4,48.66,52.01,52.01,27.54,15.35,55.57,80.03,75.68,7.13,505.09,16.09,52.01,43.54,102.99,6.91,38.96,52.66,35.49,10.76,72.69,37.84,0.0,27.78,5.67,54.3,17.68,39.39,45.0,37.84,23.52,51.21
46,15.04,11.31,103.23,1.68,44.88,29.04,19.78,26.62,55.33,28.32,13.64,24.46,25.2,54.34,24.99,24.71,36.08,54.85,32.02,12.26,112.55,50.08,40.17,47.53,66.0,66.0,23.71,42.31,46.09,113.99,101.0,24.58,519.07,11.93,66.0,19.09,98.77,23.8,64.28,51.52,34.36,25.12,95.96,18.37,29.49,0.0,32.76,53.16,16.76,51.61,58.79,18.37,10.84,50.08
47,11.85,39.18,76.81,30.01,48.72,48.1,32.38,45.68,73.55,31.66,39.03,43.53,28.54,58.18,28.33,28.05,10.34,58.69,35.86,14.91,119.48,53.91,50.1,51.36,50.91,50.91,30.24,14.24,58.27,78.93,74.58,2.17,503.98,15.55,50.91,39.71,105.69,9.61,37.86,55.36,38.2,13.46,64.01,37.43,5.13,30.49,0.0,57.0,20.38,34.9,40.51,37.43,23.12,53.91
48,59.19,62.69,125.48,53.53,15.7,79.7,42.17,77.28,80.57,26.64,54.28,75.13,29.6,35.79,28.66,30.9,68.36,49.93,24.01,57.16,74.51,15.06,45.84,8.38,69.09,69.09,28.82,64.74,23.06,117.08,118.62,60.67,522.16,58.61,69.09,66.82,60.68,50.25,80.34,54.61,36.59,46.47,118.39,69.03,55.93,54.0,59.2,0.0,51.68,100.7,113.05,69.03,66.47,15.06
49,8.64,23.62,94.22,22.95,41.65,40.91,25.31,38.49,66.48,24.59,31.96,36.33,21.48,51.11,21.27,20.98,29.51,51.63,28.8,6.62,112.41,46.85,43.04,44.3,62.77,62.77,23.17,33.3,51.2,110.76,91.99,14.86,515.85,8.07,62.77,32.52,98.63,13.17,55.27,48.3,31.13,14.14,86.96,30.24,18.85,16.76,22.12,49.94,0.0,45.04,50.65,30.24,15.92,46.85
50,37.13,61.39,72.2,77.47,92.37,66.74,78.87,64.32,97.71,75.69,66.32,62.16,72.57,101.83,72.36,72.08,27.26,102.35,79.51,40.09,165.97,97.57,96.6,95.02,63.19,63.19,74.27,46.72,101.92,92.13,75.96,36.04,516.27,40.73,63.19,58.35,152.19,43.77,48.42,78.15,81.85,57.86,42.95,48.56,39.3,51.85,34.52,100.66,44.61,0.0,20.08,48.56,41.76,97.57
51,42.79,58.7,77.0,59.1,88.54,58.63,72.2,56.21,96.0,71.48,64.61,54.06,68.36,98.0,68.15,67.87,32.92,98.51,75.68,45.75,151.18,93.73,86.6,91.18,76.04,76.04,70.06,59.57,98.09,96.92,80.76,41.69,529.12,46.39,76.04,56.64,137.4,49.43,61.26,91.0,78.02,53.28,40.02,42.26,44.95,60.37,40.17,96.82,50.26,20.18,0.0,42.26,48.31,93.73
52,26.45,18.28,105.79,18.69,59.57,18.21,33.92,15.79,55.58,43.01,24.2,13.64,39.89,69.03,39.69,39.4,41.9,69.55,46.72,26.65,110.77,64.77,46.19,62.22,80.7,80.7,41.59,57.01,60.23,128.69,109.55,36.19,533.77,27.29,80.7,16.22,96.98,38.5,76.01,66.22,49.05,39.81,80.28,0.0,38.77,19.95,38.55,67.86,31.17,47.91,41.82,0.0,16.6,64.77
53,11.19,16.3,90.53,12.28,56.42,26.37,29.77,23.95,57.34,39.37,25.95,21.79,36.25,65.88,36.04,35.76,26.65,66.4,43.57,11.39,112.52,61.62,47.94,59.07,77.55,77.55,37.94,36.44,65.97,102.94,94.3,20.94,530.62,12.03,77.55,17.98,98.74,23.17,60.76,63.07,45.9,28.91,75.73,15.7,23.51,10.83,23.29,64.71,15.91,42.18,48.1,15.7,0.0,61.62
54,54.57,58.07,120.86,48.91,11.07,75.08,32.1,72.66,70.5,22.01,44.21,70.51,24.98,34.83,24.04,26.28,63.74,40.53,19.39,52.54,75.13,0.0,35.51,7.71,64.47,64.47,24.2,60.12,8.36,112.46,114.0,56.05,517.54,53.99,64.47,56.75,61.3,45.63,75.72,49.99,31.97,41.85,113.77,64.41,51.31,49.38,54.58,12.51,47.06,96.08,108.43,64.41,61.84,0.0
